Speaker,Spoken to,Dialogue
Fred Weasley,Hermione Granger,"Right you are, Hermione. Think we can whip something up, George?"
George Weasley,Hermione Granger,Might be able to.
Fred Weasley,Hermione Granger,Just give us a few seconds.
Hermione Granger,Fred Weasley,"Mind you, it's got to be really good!"
George Weasley,Hermione Granger,"Not to worry, Hermione. We've got something that will outdue everything else we've done here combined."
Fred Weasley,Hermione Granger,It's been too quiet around here
George Weasley,Hermione Granger,Time we did some real damage to this place.
Hermione Granger,Ginny Weasley,We'll also need to keep Everybody away from her office.
Ginny Weasley,Hermione Granger,We can do that! Me and Luna'll guard the hallway.
Hermione Granger,Ginny Weasley,We'll probably only manage five minutes or so.
Harry Potter,Hermione Granger,That's all we'll need.
Fred Weasley,Harry Potter,"Right. You've got ten minutes to get to Umbridge's office. And whatever you do, stay away from the Astronomy Tower for the next couple of hours."
George Weasley,Harry Potter,"Unless they spread, in which case, I'd get out of the castle for a while."
Hermione Granger,Harry Potter,"Break out your Invisibility Cloak, Harry."
Argus Filch,Dolores Umbridge,Professor! It's those Weasley twins! They've set something off in the Astronomy Tower!
Dolores Umbridge,Argus Filch,Ready to try out the old punishments again?
Argus Filch,Dolores Umbridge,Tey've had this coming for a long time!
Harry Potter,Hermione Granger,Grimmauld Place!
Harry Potter,Sirius Black,Sirius! Are you here!
Fred Weasley,Argus Filch,That was worth it!
Argus Filch,Fred Weasley,I've got you now!
Fred Weasley,George Weasley,"Thank you for playing, one and all."
George Weasley,Fred Weasley,"And now, we've got to go!"
Harry Potter,Sirius Black,Sirius! Lupin? Hello?
Kreacher,Harry Potter,What's this? The Potter boy in the fire...
Harry Potter,Sirius Black,"Kreacher, where's Sirius?"
Kreacher,Harry Potter,Master went out.
Dolores Umbridge,Fred Weasley,"So, turning a hallway into a swamp is funny, is it?"
Fred Weasley,Dolores Umbridge,"Fairly amusing, yeah."
Dolores Umbridge,Fred Weasley,"Well, now you're going to learn what happens to wrongdoers in my school."
Fred Weasley,Dolores Umbridge,This was never your school! Hogwarts is Dumbledore's school!
Dolores Umbridge,Fred Weasley,"Well, now you're going to get your punishments right here, in front of the whole school!"
George Weasley,Dolores Umbridge,"You know, I don't think we are."
Fred Weasley,George Weasley,"George, I think we've outgrown full- time education. Wouldn't you agree?"
George Weasley,Fred Weasley,"Completely, Fred."
Fred Weasley,George Weasley,Time to enter the real world?
George Weasley,Fred Weasley,Definitely.
Fred Weasley,Dolores Umbridge,Accio brooms!
George Weasley,Dolores Umbridge,Accio brooms!
Fred Weasley,Dolores Umbridge,We won't be seeing you.
George Weasley,Dolores Umbridge,"Yeah, don't bother writing."
Fred Weasley,Dolores Umbridge,Be sure to visit us at our new premises on Diagon Alley!
Harry Potter,Kreacher,"You know where he is, don't you?"
Kreacher,Harry Potter,Master does not tell Kreacher where he goes. 
Harry Potter,Kreacher,But you know.
Kreacher,Harry Potter,Master will never return from the Department of Mysteries!
Hermione Granger,Harry Potter,Harry!
Dolores Umbridge,Harry Potter,You think you could simply walk into my office without me knowing about it? Foolish boy! 
Dolores Umbridge,Harry Potter,Accio wand! 
Dolores Umbridge,Harry Potter,Who were you trying to contact?
Harry Potter,Dolores Umbridge,It's none of your business.
Dolores Umbridge,Draco malfoy,"Draco, would you fetch Professor Snape, please? "
Dolores Umbridge,Harry Potter,"Very well, Potter. I have been patient enough with you."
Severus Snape,Dolores Umbridge,You wished to see me?
Dolores Umbridge,Severus Snape,I have just caught Potter trying to communicate with someone in my fire. I need some Veritaserum. Truth syrum.
Severus Snape,Dolores Umbridge,"Well, it appears that I cannot help you. I have none."
Harry Potter,Dolores Umbridge,He's got Padfoot at the place it's hidden!
Dolores Umbridge,Harry Potter,What? What does that mean?
Severus Snape,Harry Potter,"Potter, if I want nonsense shouted at me, I shall inform you. "
Dolores Umbridge,Harry Potter,"We've played nicely, Potter. You leave me no choice!"
Dolores Umbridge,Harry Potter,You could have saved me a lot of trouble if those Dementors I sent to your house had finished you off!
Harry Potter,Dolores Umbridge,You sent the Dementors?
Dolores Umbridge,Harry Potter,Of course I did! Someone had to act!
Dolores Umbridge,Harry Potter,CRUCIO!
Hermione Granger,Dolores Umbridge,"No! Please, stop!"
Dolores Umbridge,Hermione Granger,"Well, well."
Harry Potter,Hermione Granger,"Hermione, no!"
Hermione Granger,Harry Potter,"We have to tell her, Harry..."
Harry Potter,Hermione Granger,I would rather die!
Dolores Umbridge,Hermione Granger,"Shut up, Potter! Now talk, you silly girl! Who were you talking to?"
Hermione Granger,Dolores Umbridge,We were trying to find Professor Dumbledore. We had to tell him...
Dolores Umbridge,Hermione Granger,Tell him?
Hermione Granger,Dolores Umbridge,That it's ready. The weapon.
Dolores Umbridge,Hermione Granger,You and Mr. Potter will take me to it. 
Dolores Umbridge,Hermione Granger,"Much further, is it?"
Hermione Granger,Dolores Umbridge,"Oh, yes. It's very well hidden."
Magorian,Dolores Umbridge,What are you doing in our forest?
Dolores Umbridge,Magorian,Your forest? This forest belongs to the Ministry of Magic! 
Dolores Umbridge,Magorian,"Stay back, you beasts!"
Dolores Umbridge,Magorian,You cannot attack me! Any attack on a wizard by a half-breed--
Hermione Granger,Dolores Umbridge,Don't call them that!
Magorian,Dolores Umbridge,You dare to insult us?
Dolores Umbridge,Magorian,Come no closer! 
Dolores Umbridge,Magorian,Incarcerus! 
Dolores Umbridge,Magorian,Ingrates! Animals! Filthy half- bloods!
Centaur,Dolores Umbridge,What of these two? 
Centaur,Dolores Umbridge,They have been here with Hagrid. They have heard the warnings and disobeyed. They must suffer the consequences!
Draco Malfoy,Ron Weasley,"God, I can't wait until all you Weasleys have been expelled. Your stench has been fouling this castle for too long."
Ron Weasley,Draco Malfoy,"Shut up, Malfoy!"
Draco Malfoy,Ron Weasley,"That's for speaking to me. You know, you Weasleys are just as bad as Mudbloods! "
Draco Malfoy,Ron Weasley,"You know, Weasley, it's really too bad Potter saved you from the Chamber of Secrets."
Ron Weasley,Draco Malfoy,Stupify!
Neville Longbottom,Everybody,Expelliarmus!
Grawp,Everybody,Haggar! 
Grawp,Everybody,Hermy! Where Haggar?
Hermione Granger,Grawp,"Grawp, help us!"
Grawp,Hermione Granger,Grawp save Hermy!
Grawp,Hermione Granger,GRAWP WANT HAGGAR!
Harry Potter,Hermione Granger,"Great plan, Hermione."
Hermione Granger,Harry Potter,I thought it worked out rather nicely.
Harry Potter,Ron Weasley,What are we supposed to do now?
Ron Weasley,Harry Potter,That's just what we were wondering. 
Ron Weasley,Harry Potter,"So, how do we get to the Ministry?"
Hermione Granger,Ron Weasley,I'd imagine we should fly.
Harry Potter,Hermione Granger,We've got no brooms.
Luna Lovegood,Harry Potter,There are other ways to fly. 
Luna Lovegood,Harry Potter,"I mean, they can fly, and they're very good at finding places you need to go."
Harry Potter,Luna Lovegood,What are those?
Ron Weasley,Harry Potter,What are what?
Hermione Granger,Harry Potter,"There's nothing there, Harry."
Luna Lovegood,Neville Longbottom,"Yes, there is. They're Thestrals. You can't see them unless you've seen someone die."
Neville Longbottom,Luna Lovegood,I can see them too.
Harry Potter,Luna Lovegood,"All right, then. Get on one, and we'll be off."
Ron Weasley,Luna Lovegood,And what about those of us who can't see them? 
Luna Lovegood,Ron Weasley,I'll show you.
Ron Weasley,Harry Potter,Never again...
Ginny Weasley,Harry Potter,"What now, Harry?"
Harry Potter,Ginny Weasley,"All right, come on."
Witch,Everybody,Department of Mysteries.
Harry Potter,Ginny Weasley,Where is Everybody?
Ginny Weasley,Harry Potter,The Ministry closed a half-hour ago. I expect they all went home.
Harry Potter,Ginny Weasley,That's how Voldemort got in unnoticed.
Harry Potter,Ginny Weasley, This is it. Come on. 
Harry Potter,Ginny Weasley,Stay close.
Ginny Weasley,Harry Potter,Now where?
Harry Potter,Hermione Granger,"I don't understand. In my dream, the doors weren't identical."
Hermione Granger,Harry Potter,"Well, let's try a few."
Harry Potter,Hermione Granger,Yeah. I'll know the way when I see it. 
Harry Potter,Everybody,Who's there? 
Harry Potter,Everybody,Sirius?
Hermione Granger,Harry Potter,"There's no one here, Harry. This isn't the right room."
Harry Potter,Everybody,Does anyone else hear that?
Luna Lovegood,Harry Potter,I do. It's coming from the Veil. 
Hermione Granger,Harry Potter,Harry…
Luna Lovegood,Harry Potter,There are people in there!
Ron Weasley,Luna Lovegood,"What do you mean, people?"
Hermione Granger,Harry Potter,"Harry, I think we should leave."
Hermione Granger,Harry Potter,"Harry, we're here for Sirius, remember?"
Harry Potter,Hermione Granger,Sirius...yeah…
Harry Potter,Everybody,Alohomora!
Harry Potter,Everybody,"Whatever's in there, the Ministry sure doesn't want anyone getting to it. "
Harry Potter,Everybody,This is it! Come on! 
Harry Potter,Everybody,This is it. This is where Sirius is! 
Harry Potter,Everybody,He's in here somewhere.
Hermione Granger,Harry Potter,I don't think Sirius is here.
Ron Weasley,Harry Potter,"Harry, have you seen this? "
Ron Weasley,Harry Potter,Er...it's got your name on it.
Harry Potter,Ron Weasley,What's my name doing here?
Hermione Granger,Harry Potter,"Don't touch it, Harry!"
Harry Potter,Hermione Granger,Why not?
Neville Longbottom,Harry Potter,"Yeah, Harry, don't."
Harry Potter,Neville Longbottom,It's got my name on it!
Lucius Malfoy,Harry Potter,"I warned you before that one day you would come to a sticky end, Potter."
Harry Potter,Lucius Malfoy,Where's Sirius?
Lucius Malfoy,Harry Potter,"We don't have him, if that's what you mean.  "
Harry Potter,Lucius Malfoy,"You never did, did you? It was all just a trick."
Lucius Malfoy,Harry Potter,"The Dark Lord knows your weakness for heroics, Potter. All it took was a little nudge to get you here."
Lucius Malfoy,Harry Potter, Now give me that prophesy.
Harry Potter,Lucius Malfoy,What prophesy?
Lucius Malfoy,Harry Potter,That prophesy. Now hand it over or we'll have to use wands on you.
Harry Potter,Lucius Malfoy,Go ahead.
Lucius Malfoy,Harry Potter,"Very brave of you, Potter. Or are you foolish?"
Harry Potter,Lucius Malfoy,Come and find out!
Lucius Malfoy,Harry Potter,"Really, Potter. You expect to defeat all of us with your little school friends? Now hand it over, and they won't have to die here."
Bellatrix Lestrange,Lucius Malfoy,I haven't escaped from Azkaban for this!
Lucius Malfoy,Bellatrix Lestrange,No! If the prophesy is smashed--
Bellatrix Lestrange,Death eaters,Take the youngest girl. We'll see how committed Potter is as we torture her.
Harry Potter,Bellatrix Lestrange,You even try to take her and I'll smash this thing. 
Harry Potter,Bellatrix Lestrange,"So, what kind of prophesy are we talking about here?"
Bellatrix Lestrange,Harry Potter,"Surely you jest, Potter?"
Harry Potter,Lucius Malfoy,Not really. How come Voldemort wants it?
Lucius Malfoy,Harry Potter,You dare to speak the Dark Lord's name?
Harry Potter,Lucius Malfoy,"Who, Voldemort? Oh, yeah, I dare. Voldemort, Voldemort, Voldemort- - "
Bellatrix Lestrange,Harry Potter,Silence! How dare you utter that name from your half—-blood mouth!
Harry Potter,Bellatrix Lestrange,"Hey, did you know Voldemort's a half-blood too?"
Lucius Malfoy,Bellatrix Lestrange,"Control yourself, Bellatrix!"
Harry Potter,Bellatrix Lestrange,What's so special about this
Lucius Malfoy,Harry Potter,You mean Dumbledore never told you the reason you bear that scar was hidden here?
Harry Potter,Lucius Malfoy,What?
Harry Potter,Everybody,"When I give the signal, blast the shelves…"
Lucius Malfoy,Harry Potter,So that's what took you so long. We wondered. 
Harry Potter,Lucius Malfoy,But why did he need me to take it?
Lucius Malfoy,Harry Potter,"Only a person for whom the prophesy was made can remove it from its self, Potter, and the Dark Lord certainly couldn't get it himself."
Harry Potter,Lucius Malfoy,"So he used me to do his dirty work, did he? "
Harry Potter,Everybody,Now!
Harry Potter,Everybody,RUN!
Hermione Granger,Everybody,Stupify!
Lucius Malfoy,Everybody,Stop them!
Hermione Granger,Everybody,Colloportus!
Harry Potter,Hermione Granger,Where'd the rest go?
Hermione Granger,Harry Potter,"Harry, they went the wrong way!"
Death Eater,Bellatrix Lestrange,They might have gone on to the hall.
Bellatrix Lestrange,Death Eater,Check under the desks.
Harry Potter,Everybody,Stupify!
Bellatrix Lestrange,Everybody,Avada-—
Neville Longbottom,Everybody,Expelliarmus!
Harry Potter,Everybody,Stupify! 
Harry Potter,Everybody,Ron!
Death Eater,"Harry Potter, Hermione Granger",Impedimenta! 
Death Eater,Hermione Granger,We've got him!
Hermione Granger,Death Eater,Silenco! Stupify!
Harry Potter,Death Eater,Pretificus Totalus!
Neville Longbottom,Hermione Granger,Stupify!
Harry Potter,Hermione Granger,Hermione!
Harry Potter,Hermione Granger," Please don't be dead, please don't be dead... "
Harry Potter,Hermione Granger,"Hermione, wake up…"
Neville Longbottom,Harry Potter,What's they do to her? 
Neville Longbottom,Harry Potter,"She's alive, Harry. There's a pulse."
Harry Potter,Neville Longbottom,Can we carry her?
Neville Longbottom,Harry Potter,I'll do it. You're better at fighting. 
Neville Longbottom,Harry Potter,Where do we go?
Harry Potter,Neville Longbottom,I don't know... 
Harry Potter,Ginny Weasley,What happened.
Ginny Weasley,Harry Potter,I think my ankle's broken. And somebody hit Ron with a weird spell...
Ron Weasley,Harry Potter,"Hiyya, Harry."
Ron Weasley,Harry Potter,You look funny….
Luna Lovegood,Harry Potter,They hit her with something too.
Harry Potter,Luna Lovegood,"We need to get out of here. Luna, can you help Ginny?"
Bellatrix Lestrange,Everybody,There they are!
Lucius Malfoy,Harry Potter,"Your race is run, Potter. Hand it over."
Harry Potter,Lucius Malfoy,Let my friends go and I will.
Lucius Malfoy,Harry Potter,You are not in a position to negotiate.
Neville Longbottom,Harry Potter,"Don't do it, Harry! Don't!"
Harry Potter,Neville Longbottom,"Stop, Neville!"
Bellatrix Lestrange,Neville Longbottom,Neville? Neville Longbottom? 
Bellatrix Lestrange,Neville Longbottom,"My dear boy, I paid your parents a visit a long time ago. We had such a time!"
Neville Longbottom,Bellatrix Lestrange,You put them in St. Mungos!
Bellatrix Lestrange,Harry Potter,"So, Potter. Give us the Prophesy or I'll see how long it takes to crack Longbottom like his parents."
Neville Longbottom,Harry Potter,Don't give it to them!
Bellatrix Lestrange,Neville Longbottom,Crucio!
Harry Potter,Neville Longbottom,Are you all right?
Neville Longbottom,Harry Potter,Yeah...
Death Eater,Harry Potter,Give me the prophesy!
Sirius Black,Harry Potter,"Get out of here, you two!"
Sirius Black,Harry Potter, That will take you back out of the Department of Mysteries.
Harry Potter,Sirius Black,You come with us!
Sirius Black,Harry Potter,"You're the important one, now, Harry. I have to help the Order."
Sirius Black,Harry Potter," I'll always be here for you, Harry. Now go!"
Sirius Black,Bellatrix Lestrange," Hello, cousin!"
Lucius Malfoy,Harry Potter,Potter! 
Lucius Malfoy,Harry Potter,"We may have lost the prophesy, but I can still deliver you to the Dark Lord! "
Lucius Malfoy,Harry Potter,Stupify!
Harry Potter,Lucius Malfoy,Protego!
Neville Longbottom,Harry Potter,It's Dumbledore!
Sirius Black,Bellatrix Lestrange,"Is that the best you've got, cousin?"
Harry Potter,Sirius Black,Sirius!
Harry Potter,Remus Lupin,Let me go!
Remus Lupin,Harry Potter,Harry! HARRY!...he's gone...there's nothing you can do...
Harry Potter,Remus Lupin,LIAR!
Harry Potter,Remus Lupin,No...no...no....
Remus Lupin,Harry Potter,"Harry, no!"
Bellatrix Lestrange,Harry Potter,"You can't stop me, Potter!"
Harry Potter,Bellatrix Lestrange,I'LL KILL you!! 
Harry Potter,Bellatrix Lestrange,Stupify!
Bellatrix Lestrange,Harry Potter,"Come out, come out, Potter... "
Bellatrix Lestrange,Harry Potter,"Well, well, have you come to avenge your dear Godfather?"
Harry Potter,Bellatrix Lestrange,Crucio!
Bellatrix Lestrange,Harry Potter,Crucio! 
Bellatrix Lestrange,Harry Potter,"Never used an Unforgivable Curse before, have you, Potter? You have to mean it, you have to want to cause the pain in your very soul... "
Bellatrix Lestrange,Harry Potter,Give me the prophesy!
Harry Potter,Bellatrix Lestrange,Can't. It got smashed by accident!
Bellatrix Lestrange,Harry Potter,You lie!
Harry Potter,Bellatrix Lestrange,"How's Voldemort going to like that? You've failed him, and he's not very forgiving, is he?"
Bellatrix Lestrange,Voldemort,"Forgive me, Master! I tried, I--"
Harry Potter,Bellatrix Lestrange,"He can't hear you from here, you know!"
Voldemort,Harry Potter,"Can't I, Potter?"
Voldemort,Harry Potter,"So, you smashed my prophesy... "
Voldemort,Harry Potter,"I grow tired of you continually thwarting my plans, Harry Potter! "
Voldemort,Harry Potter,Avada Kadavra!
Albus Dumbledore,Voldemort,"You should not have come here tonight, Tom."
Voldemort,Albus Dumbledore,"It is you who made that mistake, Dumbledore! "
Voldemort,Albus Dumbledore,Avada Kedavra! 
Voldemort,Albus Dumbledore,"You do not seek to kill me, Dumbledore?"
Albus Dumbledore,Voldemort,"There are other ways to destroy a man, Tom."
Voldemort,Albus Dumbledore,There is nothing worse than death!
Albus Dumbledore,Voldemort,"You are quite wrong, Tom, as you have always been."
Harry Potter,Albus Dumbledore,Look out!
Harry Potter,Albus Dumbledore, Professor!
Albus Dumbledore,Harry Potter,"Stay where you are, Harry! "
Harry Potter,Albus Dumbledore,"Kill me now, Dumbledore… do it, if death means nothing..."
Albus Dumbledore,Harry Potter,Harry!
Albus Dumbledore,Harry Potter," Are you all right, Harry?"
Percy Weasley,Cornelius Fudge,"Minister, I saw him! You-Know-Who! He was right there!"
Cornelius Fudge,Percy Weasley,I know...I saw him too...
Albus Dumbledore,Cornelius Fudge,"If you and your men will proceed to the Death Room, you will find several Death Eaters which I and some others have apprehended."
Cornelius Fudge,Albus Dumbledore,Seize him!
Albus Dumbledore,Cornelius Fudge,"Minister, you have just seen You- Know-Who in the flesh only seconds ago! It is time to come to your senses! "
Albus Dumbledore,Cornelius Fudge,"If you insist on trying to arrest me, I am perfectly willing demonstrate how useless such an attempt will be."
Cornelius Fudge,Albus Dumbledore,"Dumbledore, what the blazes happened here?"
Albus Dumbledore,Cornelius Fudge,"I will explain everything, Minister. Just as soon as I return Harry to school."
Cornelius Fudge,Albus Dumbledore,What's he doing here? And what's happened to him?
Albus Dumbledore,Cornelius Fudge,"Minister, you will order the removal of Dolores Umbridge from my school. "
Albus Dumbledore,Cornelius Fudge,"Also, she will probably need medical attention, having had a violent encounter with some Centaurs earlier this evening."
Albus Dumbledore,Cornelius Fudge,All Educational Decrees will be nullified and you will call off the search on Hagrid so he can return to work. 
Albus Dumbledore,Cornelius Fudge,"I will return here later tonight, after I have seen to Harry. It should not take long. "
Albus Dumbledore,Cornelius Fudge,Portus.
Cornelius Fudge,Albus Dumbledore,"Dumbledore, I want some answers!"
Albus Dumbledore,Cornelius Fudge,"The Second War has begun, Minister."
Albus Dumbledore,Portraits,Thank you... 
Albus Dumbledore,Harry Potter,"Please sit, Harry."
Albus Dumbledore,Harry Potter," I understand how you feel, Harry--"
Harry Potter,Albus Dumbledore,No you don't!
Albus Dumbledore,Harry Potter,"You forget that Sirius was my friend too. You are not the only person on this earth capable of feelings, Harry. "
Albus Dumbledore,Harry Potter,"There is no shame in feeling pain, Harry. It is your greatest strength..."
Harry Potter,Albus Dumbledore,You don't have a clue! You can't possibly know!
Albus Dumbledore,Harry Potter,What can't I know? 
Albus Dumbledore,Harry Potter,"This pain is part of being human, Harry..."
Harry Potter,Albus Dumbledore,Then I don't want to be human!
Harry Potter,Albus Dumbledore,I don't care! I don't care!
Albus Dumbledore,Harry Potter,You do care. You care so much you feel like you will bleed to death because of it.
Harry Potter,Albus Dumbledore,Let me out.
Albus Dumbledore,Harry Potter,No.
Harry Potter,Albus Dumbledore,You can't keep me in here!
Albus Dumbledore,Harry Potter,"I daresay I can. And if you actually do attack me with that wand, Harry, I'm afraid to say you will regret it. "
Albus Dumbledore,Harry Potter,It is my fault Sirius died tonight.
Albus Dumbledore,Harry Potter,"I have kept things from you, harry. Things that I should not have concealed. You had a right to know but I put off telling you."
Albus Dumbledore,Harry Potter,Had I told you that voldemort might try to lure you down to the Department of Mysteries you would never have gone there tonight. Sirius would never have gone after you.
Albus Dumbledore,Harry Potter,That fault lies with me. I hope that you can find it in your heart to forgive me one day.
Albus Dumbledore,Harry Potter,"Harry, I owe you this explanation, to show you the failings of an old man."
Albus Dumbledore,Harry Potter,"Our explanation begins with your scar. You already know that it is a connection between you and Voldemort, and that this connect goes both ways."
Albus Dumbledore,Harry Potter,"I grew worried that Voldemort would at some point discover this connection, which he did the night Mr.Weasely was attacked."
Harry Potter,Albus Dumbledore,I already know all this.
Albus Dumbledore,Harry Potter,"Haven't you wondered why I haven't spoken to you, even looked at you, for months?"
Harry Potter,Albus Dumbledore,"Well, yeah, I did..."
Albus Dumbledore,Harry Potter,I was worried that if Voldemort discovered there was a closer relationship between us than simply between teacher and student he would use you to spy the order another mistake.
Albus Dumbledore,Harry Potter,"Voldemort showed us both tonight that his aim in possessing you would not be to destroy me, but to destroy you."
Albus Dumbledore,Harry Potter,"Sirius told me you believed there was a snake inside of you. This was Voldemort attempting to manipulate you. To protect you from this, I had you study Occlumency."
Harry Potter,Albus Dumbledore,But Snape stopped giving me lessons.
Albus Dumbledore,Harry Potter,"Yes. I thought he could overcome his feelings towards your father, but I was wrong. Some wounds cut too deep to be healed."
Harry Potter,Albus Dumbledore,"He barely taught me, though. I always felt more open to it after the lessons. Like he was trying to open me to Voldemort—-"
Albus Dumbledore,Harry Potter,"I would trust Severus Snape with my life, Harry. You have never recovered from your mistrust of him in your first year."
Harry Potter,Albus Dumbledore,Sirius didn't trust him. Didn't believe he'd really turned to our side...
Albus Dumbledore,Harry Potter,"Again, some wounds run too deep to be healed, Harry. Severus and Sirius never liked each other at school. This has never changed. "
Albus Dumbledore,Harry Potter,"During your Occulumency lessons, Professor Snape discovered that you were dreaming about the door in the Department of Mysteries."
Harry Potter,Albus Dumbledore,"I've been dreaming about that all year, before Voldemort discovered the connection."
Albus Dumbledore,Harry Potter,"Yes. Voldemort has been obsessed with hearing that prophesy since he returned. Because of your scar, what he was obsessed with, you were obsessed with, in the form of dreams. "
Albus Dumbledore,Harry Potter,"Once he discovered the connection, Voldemort had little difficulty in manipulating you into thinking he had captured Sirius."
Harry Potter,Albus Dumbledore,But I checked Grimmauld Place! Kreacher said--
Albus Dumbledore,Harry Potter,Kreacher lied. He wanted you to go to the Department of Mysteries.
Harry Potter,Albus Dumbledore,Why?
Albus Dumbledore,Harry Potter,Kreacher has been serving two masters for some months now.
Harry Potter,Albus Dumbledore,What? 
Albus Dumbledore,Harry Potter,"It appears that when sirius told him to get out, Kreacher thought he meant out of the house. So he went to the black's closest relatives, the malfoys."
Albus Dumbledore,Harry Potter,"Obviously, they questioned him. Sirius had forbidden him from giving up important secrets. But Sirius had neglected to mention his relationship with you"
Albus Dumbledore,Harry Potter,"He told them how you saw him as a mixture of father and brother, and that you would move heaven and earth to save Sirius."
Albus Dumbledore,Harry Potter,Voldemort sknew that making you velieve he had Sirius in the Department of Mysteries ould force you there.
Harry Potter,Albus Dumbledore,"Wait, where was Sirius when I tried to contact him?"
Albus Dumbledore,Harry Potter,Ah. Apparently Kreacher had injured Buckbeak to distract him in case you tried to contact Headquarters. 
Albus Dumbledore,Harry Potter,Sirius was tending to the wounds when you called.
Harry Potter,Albus Dumbledore,And Hermione said we should be nice to Kreacher!
Albus Dumbledore,Harry Potter,"She was quite right, Harry. Kreacher is what wizards have made him. He is to be pitied, not hated."
Harry Potter,Albus Dumbledore,Sirius hated him.
Albus Dumbledore,Harry Potter,He didn't hate Kreacher himself. Kreacher was a reminder to Sirius of the home he had always hated.
Harry Potter,Albus Dumbledore,"Yeah, he really hated that place. And you kept him locked up in there!"
Albus Dumbledore,Harry Potter,I was trying to save his life! 
Albus Dumbledore,Harry Potter,It is time to tell you what I should have five years ago. No doubt you have wondered why it was that I sent you there and not to a wizarding family?
Albus Dumbledore,Harry Potter,"I did it for your protection. You were in more danger than anyone realized. Voldemort was defeated, but his servants were everywhere."
Albus Dumbledore,Harry Potter,I also knew that Voldemort would return one day. I played to his weakness. There is an ancient magic which Voldemort has always underestimated.
Albus Dumbledore,Harry Potter," This magic is what your mother gave you when she died. That protection would only work, however, if you were cared for by a blood relative. Your Aunt, Petunia."
Harry Potter,Albus Dumbledore,She never loved me.
Albus Dumbledore,Harry Potter,"Perhaps not. But she took you in, however grudgingly. As long as you can call your Aunt's house your home, you are protected. "
Albus Dumbledore,Harry Potter,"And now we come to the moment of terrible truth, the moment I have dreaded for fifteen years. The moment when I must lay another burden atop your already straining shoulders. "
Albus Dumbledore,Harry Potter,Do you remember your first year here? When you lay in the hospital wing fresh from your confrontation with Voldemort? 
Albus Dumbledore,Harry Potter,Do you remember what you asked me that night?
Harry Potter,Albus Dumbledore,I asked you why Voldemort tried to kill me.
Albus Dumbledore,Harry Potter,"Yes. I decided not to tell you then. After all, eleven was too young for such burdens. The same went for twelve. But I was runningout of excuses by thirteen and fourteen. Do you see the flaw in my plan yet?"
Albus Dumbledore,Harry Potter,I cared about you too much. I became more concerned with your happiness and well-being than with the truth and the lives it could save. That was my greatest mistake. It was exactly what Voldemort expects from us fools who love.
Albus Dumbledore,Harry Potter,"But I could not bear to tell you. I have watched you pass through greater trials than any other student in the history of this school, and I could not bear to add another one, the grestest one of all."
Albus Dumbledore,Harry Potter,"You have no idea the pain it causes me to tell it to you, even now. But unfortunately, I must."
Harry Potter,Albus Dumbledore,"I don't understand, Professor. "
Albus Dumbledore,Harry Potter,"The reason Voldemort tried to kill you is because of a prophesy made just before your bith. By attempting to kill you, he believed he was fulfilling the terms of the prophesy. Voldemort's mistake was that he had not heard the entire prophesy."
Albus Dumbledore,Harry Potter,"That is the weapon we have been guarding, and which he has been so desperately seeking: the knowledge of how to destroy you."
Harry Potter,Albus Dumbledore,"Professor, why am I so important to him?"
Albus Dumbledore,Harry Potter,"An excellent question, Harry. The answer lies in the prophesy."
Harry Potter,Albus Dumbledore,"Sir, it got smashed."
Albus Dumbledore,Harry Potter,That was not the only place the Prophesy is preserved.
Sybill Trelawney,Harry Potter,"""The One with the power to vanquish the Dark Lord approaches....Born to those who have thrise defied him, born as the Seventh Month dies… and the dark lord will mark him as his equal, but he will have a power the dark lord knows not… and either must die at the hand of the other for niether can live while the other survives.... The one with the power to vanquish the dark lord will be born as the seventh Month dies..."""
Harry Potter,Albus Dumbledore,"I'm not sure I understand all that, sir... "
Albus Dumbledore,Harry Potter,It means that the only person with a chance of defating Voldemort was born at the end of july to parents who had resisted him three times before.
Harry Potter,Albus Dumbledore,And...it means me?
Albus Dumbledore,Harry Potter,"Interestingly, there were two boys whom the prophesy could have been referring to. You and Neville Longbottom."
Harry Potter,Albus Dumbledore,"So it's not necessarily me, sir? "
Albus Dumbledore,Harry Potter,You forget the next qualification of the prophesy. The dark lord will mark this boy as his equal.
Albus Dumbledore,Harry Potter,"In giving you that scar, Voldemort did so. I'm afraid that the prophesy is most certainly referring to you."
Albus Dumbledore,Harry Potter,What if he chose wrong? 
Albus Dumbledore,Harry Potter,"He chose the child he believed to be the more dangerous. He chose the ""half-blood"" wizard because he saw some of himself in you"
Albus Dumbledore,Harry Potter,He tried to kill you and instead gave you the power and the future to destroy him.
Harry Potter,Albus Dumbledore,Why didn't he wait? Why attack when we were babies?
Albus Dumbledore,Harry Potter,"Voldemort had an informant listening to my meeting with Professor Trelawney. Fortunately he was discovered before he could hear the entire prophesy. Voldemort had to act immediately, he didn't know the rest of the prophesy. All he knew was that he had to destroy the child who would grow to be a threat to his power."
Harry Potter,Albus Dumbledore,But I don't have any special powers.
Albus Dumbledore,Harry Potter,There is a room in the Department of Mysteries which is kept locked at all times. It contains a force so wonderful and yet terrible that it is greater than death itself. It is that power which you have incredible amounts of and of which Voldemort has none.
Harry Potter,Albus Dumbledore,"What is it, sir?"
Albus Dumbledore,Harry Potter,"This power drove you to save sirius tonight. It kept Voldemort from possessing you, he cannot bear to touch it."
Albus Dumbledore,Harry Potter,"In the end, it was your heart and not your head that saved you."
