Speaker,Spoken to,Dialogue
Harry Potter,Luna Lovegood,"Yes, do go enjoy yourselves."
Harry Potter,Ron Weasley,What is that?
Ron Weasley,Harry Potter,What?
Harry Potter,Ron Weasley,That…that…thing!
Ron Weasley,Harry Potter,"Harry, there's nothing there, mate…"
Harry Potter,Ron Weasley,"Yes it is, it's right there!"
Luna Lovegood,Harry Potter,"I see them too, Harry."
Harry Potter,Luna Lovegood,Er...you are?
Luna Lovegood,Harry Potter,Luna. Luna Lovegood.
Harry Potter,Hermione Granger,"Well, thanks Luna."
Harry Potter,Hermione Granger,Hagrid's cabin looks deserted.
Hermione Granger,Ron Weasley,I hope he's all right...
Ron Weasley,Harry Potter,What if he were still on his
Ron Weasley,Harry Potter,…what if he's still on his mission from Dumbledore?
Harry Potter,Albus Dumbledore,"Yeah, could be."
Albus Dumbledore,Dolores Umbridge,"I beg a few moments of your attention, as I have a few start of term announcements. Right off, our caretaker, the good Mr. Filch, has reminded me for what he says is the four-hundred and sixty-second time that he had an annually updated list of various banned items, usually introduced by our humour experts Fred and George Weasley... ... which are posted in an extensive list on the door to Mr. Filch's door. Also, we have two staffing changes this year. Professor Grubby-Plank will be taking the post of Care of Magical Creatures post as Professor Hagrid is on...extended leave. Additionally, we have Professor Umbridge, who has kindly agreed to fill the post of Defense Against the Dark Arts-—"
Dolores Umbridge,Dean Thomas,"Hem, hem, Headmaster, if I could address the school?"
Dolores Umbridge,Albus Dumbledore,"Thank you, Headmaster. Now, how are we all doing tonight? I thought I would just say a few words. I am here at the Ministry of Magic's bequest, under Educational Decree twenty-two, which states that if the Headmaster of Hogwarts is unable to fill any teaching post the Ministry shall select one for the position."
Dolores Umbridge,Dean Thomas,"The Ministry has always considered the magical education of our children to be of vital importance, and the passing down of this ancient and noble art must be given to the next generation, lest it be lost forever… ithout progress, stagnation. But progress for progress's sake is to be discouraged, for our art requires no tinkering. A balance must be attained, the new and the old, permanence and change, tradition and innovation, order and chaos. There are large changes are for the best, and to prevent the destruction of our civilization from its own decay. Thank you."
Dean Thomas,Harry Potter,"So why didn't your mum want you to come back to Hogwarts, Seamus?"
Harry Potter,Seamus Finnigan,What?
Seamus Finnigan,Harry Potter,Me mam didn't want me to come back to Hogwarts...
Harry Potter,Seamus Finnigan,Why?
Seamus Finnigan,Harry Potter,Well...because of you...
Harry Potter,Seamus Finnigan,What did I do?
Seamus Finnigan,Harry Potter,"She...well, she figure's you're, well...you're lying about You-Know- Who and Dumbledore's a right nutter…"
Harry Potter,Dolores Umbridge,Where'd she get that from? 
Harry Potter,Seamus Finnigan,So…she believes this stuff?
Seamus Finnigan,Harry Potter,Well…yeah…
Harry Potter,Seamus Finnigan,"But…but you believe me, don't you?"
Harry Potter,Hedwig,"No one believes me, Hedwig. No one…"
Harry Potter,Hedwig,I'm alone…
Harry Potter,Hedwig,"Sorry, Professor..."
